timestamp,type,joints,pose
2026-06-29T15:06:22,arm,"[83, 44, -59, 125, 151, -37, -20]",NaN
2026-07-09T16:22:34,arm,"[79.19, 88.97, -67.06, 135.11, 155.93, -14.01, -50.10]","[287.99, 137.66, -62.01, -59.68, 20.32, -45.29, False, -67.06, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-07-09T16:22:40,arm,"[74.02, 92.55, -73.88, 133.97, 152.57, -3.46, -52.05]","[310.52, 154.44, -45.70, -64.80, 23.89, -45.33, False, -73.88, [0, 1, -1, 1, 1, -1, -1, 1]]"
2026-07-09T16:22:43,arm,"[74.32, 92.33, -77.30, 135.16, 157.68, -4.17, -53.95]","[300.30, 178.65, -43.07, -64.46, 23.00, -36.54, False, -77.30, [0, 1, -1, 1, 1, -1, -1, 1]]"
2026-07-09T16:22:47,arm,"[75.34, 89.02, -82.12, 137.10, 159.83, -4.97, -55.80]","[285.47, 212.83, -42.33, -63.27, 22.68, -27.92, False, -82.12, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-07-09T16:22:51,arm,"[74.96, 86.60, -91.13, 137.13, 162.08, -5.19, -55.80]","[273.16, 259.29, -37.23, -61.82, 22.03, -16.04, False, -91.13, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:22:54,arm,"[75.12, 84.29, -100.87, 136.99, 158.30, -5.14, -55.81]","[259.90, 304.97, -37.64, -63.87, 21.10, -10.16, False, -100.87, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:22:57,arm,"[72.44, 81.23, -113.93, 136.95, 149.01, 0.65, -55.82]","[241.44, 360.86, -27.46, -68.20, 20.83, -7.78, False, -113.93, [0, 0, -2, 1, 1, 0, -1, 0]]"
2026-07-09T16:23:00,arm,"[73.36, 75.68, -124.22, 136.92, 136.42, 5.13, -55.81]","[220.08, 404.17, -20.95, -70.08, 21.56, -9.80, False, -124.22, [0, 0, -2, 1, 1, 0, -1, 0]]"
2026-07-09T16:23:03,arm,"[74.16, 70.83, -129.97, 134.71, 129.38, 5.27, -55.79]","[208.77, 435.40, -13.93, -70.46, 21.07, -9.79, False, -129.97, [0, 0, -2, 1, 1, 0, -1, 0]]"
2026-07-09T16:23:10,arm,"[76.31, 76.07, -117.37, 137.02, 146.55, -0.60, -55.76]","[225.68, 381.30, -26.97, -64.97, 22.68, -4.00, False, -117.37, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:23:16,arm,"[78.73, 63.30, -111.48, 133.24, 135.64, -9.59, -18.23]","[257.82, 339.45, 22.98, -20.90, 21.95, -12.17, False, -111.48, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T10:18:13,arm,"[94, 76, -108, 135, 117, -13, -28]",NaN
