timestamp,type,joints,pose
2026-07-29T15:38:16,gripper,NaN,0.00
2026-07-29T15:43:28,arm,"[86, 85, -68, 128, 153, -30, -35]",NaN
2026-08-12T15:04:34,arm,"[84.59, 80.54, -74.40, 127.96, 146.01, -25.37, -44.03]","[309.93, 186.30, -114.68, -60.77, 22.03, -43.36, False, -74.40, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-12T15:04:41,arm,"[92.05, 68.82, -81.34, 138.77, 127.80, -24.87, -44.30]","[268.29, 232.62, -103.27, -64.67, 21.09, -52.43, False, -81.34, [1, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-12T15:04:50,arm,"[105.53, 56.59, -94.49, 140.25, 113.92, -30.67, -35.82]","[237.37, 292.90, -107.35, -62.58, 25.40, -51.57, False, -94.49, [1, 0, -2, 1, 1, -1, -1, 1]]"
2026-08-12T15:04:56,arm,"[126.13, 51.20, -118.49, 140.03, 85.13, -28.16, -15.50]","[196.08, 355.01, -99.21, -64.65, 26.56, -58.96, False, -118.49, [1, 0, -2, 1, 0, -1, -1, 1]]"
2026-08-12T15:05:01,arm,"[135.93, 54.40, -135.36, 135.84, 71.55, -19.73, -3.65]","[163.61, 406.55, -90.27, -64.27, 27.39, -58.73, False, -135.36, [1, 0, -2, 1, 0, -1, -1, 1]]"
2026-08-12T15:05:07,arm,"[138.82, 56.94, -146.08, 125.56, 62.28, -6.96, 7.15]","[138.25, 467.32, -93.96, -64.56, 27.20, -60.25, False, -146.08, [1, 0, -2, 1, 0, -1, 0, 1]]"
2026-08-12T15:05:13,arm,"[139.01, 55.91, -154.52, 111.07, 57.47, 8.69, 17.21]","[110.49, 536.22, -94.71, -64.14, 27.46, -63.28, False, -154.52, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-08-12T15:05:18,arm,"[138.97, 54.93, -156.29, 106.10, 56.87, 13.90, 20.81]","[102.17, 555.61, -95.73, -63.99, 27.48, -65.18, False, -156.29, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-08-12T15:05:27,arm,"[130.63, 59.09, -136.54, 133.20, 67.33, -12.90, -0.72]","[162.80, 416.78, -96.93, -63.90, 21.83, -60.56, False, -136.54, [1, 0, -2, 1, 0, -1, -1, 1]]"
