timestamp,type,joints,pose
2026-07-09T16:23:50,arm,"[74.08, 82.57, -94.44, 91.39, 129.80, -21.74, -36.61]","[432.24, 303.77, -235.67, -87.56, 31.49, -44.58, False, -94.44, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:23:56,arm,"[73.34, 82.35, -94.24, 96.17, 129.77, -20.95, -37.83]","[428.34, 300.28, -204.10, -84.13, 28.63, -43.40, False, -94.24, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:24:00,arm,"[67.95, 78.30, -95.39, 92.22, 124.90, -18.20, -36.81]","[452.73, 329.97, -179.88, -83.80, 27.98, -44.56, False, -95.39, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:24:05,arm,"[81.13, 73.83, -98.68, 103.90, 118.95, -18.21, -37.76]","[381.97, 353.86, -200.07, -85.10, 28.56, -45.30, False, -98.68, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T16:24:16,gripper,NaN,200.00
2026-07-09T16:24:24,arm,"[64.25, 69.92, -101.93, 77.05, 111.55, -15.97, -27.40]","[467.47, 431.04, -205.00, -89.22, 26.15, -45.85, False, -101.93, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-07-09T16:24:30,arm,"[61.01, 69.57, -101.92, 71.97, 111.69, -15.98, -25.27]","[482.05, 440.26, -204.25, -89.25, 26.25, -45.56, False, -101.92, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-07-09T16:24:40,gripper,NaN,0.00
2026-07-09T16:24:52,arm,"[62.01, 69.24, -100.70, 74.39, 113.34, -16.00, -27.84]","[477.88, 434.17, -200.30, -89.05, 28.27, -45.18, False, -100.70, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-07-09T16:24:59,arm,"[60.64, 64.93, -98.98, 90.85, 113.73, -9.61, -42.36]","[454.87, 421.62, -104.59, -85.46, 28.46, -44.39, False, -98.98, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-09T10:59:20,arm,"[66, 60, -87, 100, 92, 0, -17]",NaN
2026-07-09T10:59:25,arm,"[75, 50, -75, 114, 72, 25, -10]",NaN
