timestamp,type,joints,pose
2026-06-30T15:49:05,arm,"[100, 30, -45, 70, 85, -10, 50]",NaN
2026-06-30T15:49:48,lift,NaN,100
2026-06-30T15:50:13,arm,"[140, 45, -30, 81, 104, -50, 48]",NaN
2026-06-30T17:02:01,arm,"[133.64, 51.69, -30.67, 80.49, 107.74, -50.17, 50.03]","[-537.59, -129.51, -430.84, 131.22, -1.87, 154.12, False, -30.67, [1, 0, -1, 0, 1, -1, 0, 1]]"
2026-06-30T17:02:17,arm,"[116.96, 70.53, -27.89, 74.83, 118.54, -44.87, 34.16]","[-580.17, 47.24, -402.12, 133.68, -5.11, 146.90, False, -27.89, [1, 0, -1, 0, 1, -1, 0, 1]]"
2026-06-30T17:02:40,arm,"[113.58, 73.48, -26.29, 67.72, 113.60, -45.67, 37.40]","[-598.60, 56.90, -387.21, 132.58, -4.96, 147.54, False, -26.29, [1, 0, -1, 0, 1, -1, 0, 1]]"
2026-06-30T15:51:38,gripper,NaN,250.00
2026-06-30T17:06:19,arm,"[115.85, 66.76, -22.07, 73.22, 113.81, -48.88, 33.77]","[-586.67, 13.96, -398.20, 132.23, -5.45, 150.01, False, -22.07, [1, 0, -1, 0, 1, -1, 0, 1]]"
2026-06-30T15:52:59,arm,"[116.87, 60.96, -14.30, 97.71, 132.84, -46.01, 1.00]","[-522.71, 42.47, -458.89, 128.16, -6.85, 151.00, False, -14.30, [1, 0, -1, 1, 1, -1, 0, 1]]"
2026-06-30T17:08:13,arm,"[112.63, 63.63, -13.70, 92.91, 131.02, -46.87, 4.45]","[-533.74, 62.44, -442.29, 131.75, -7.47, 148.97, False, -13.70, [1, 0, -1, 1, 1, -1, 0, 1]]"
2026-06-30T15:53:30,gripper,NaN,0.00
2026-06-30T17:15:21,arm,"[111.27, 61.64, -8.83, 97.33, 131.76, -50.01, 1.45]","[-517.14, 57.77, -459.35, 131.47, -5.15, 146.56, False, -8.83, [1, 0, -1, 1, 1, -1, 0, 1]]"
2026-06-30T17:16:03,arm,"[120.48, 55.68, -13.88, 98.80, 134.10, -52.07, 6.80]","[-510.15, -0.67, -468.40, 131.65, -6.45, 148.17, False, -13.88, [1, 0, -1, 1, 1, -1, 0, 1]]"
2026-06-30T17:16:23,arm,"[125.19, 39.03, -13.08, 102.60, 127.29, -54.21, 18.61]","[-470.11, -97.72, -456.25, 135.76, -3.17, 156.18, False, -13.08, [1, 0, -1, 1, 1, -1, 0, 1]]"
2026-06-30T17:16:31,arm,"[125.15, 22.06, -10.50, 103.15, 125.97, -55.42, 25.98]","[-415.93, -180.09, -425.16, 144.56, -4.62, 167.58, False, -10.50, [1, 0, -1, 1, 1, -1, 0, 1]]"
2026-06-30T15:54:32,arm,"[100.00, 30.00, -45.00, 70.00, 85.00, -10.00, 50.00]",NaN
2026-06-30T15:54:41,lift,NaN,200.00
