timestamp,type,joints,pose
2026-08-11T15:08:08,arm,"[81.46, 53.34, -97.47, 99.10, 84.90, -24.18, -43.61]","[382.11, 440.22, -188.14, -100.48, 18.14, -53.85, False, -97.47, [0, 0, -2, 1, 0, -1, -1, 1]]"
2026-08-11T15:08:19,arm,"[74.68, 57.07, -94.88, 97.66, 84.87, -19.64, -50.48]","[411.40, 412.12, -184.05, -106.93, 15.40, -59.45, False, -94.88, [0, 0, -2, 1, 0, -1, -1, 1]]"
2026-08-11T15:08:28,arm,"[81.81, 57.48, -96.50, 105.74, 84.74, -19.63, -50.63]","[379.53, 392.50, -190.10, -106.18, 15.92, -62.11, False, -96.50, [0, 0, -2, 1, 0, -1, -1, 1]]"
2026-08-11T15:08:34,arm,"[82.35, 56.81, -94.42, 106.82, 84.94, -19.56, -50.63]","[379.01, 381.26, -192.36, -106.30, 17.43, -64.33, False, -94.42, [0, 0, -2, 1, 0, -1, -1, 1]]"
2026-08-11T15:08:41,arm,"[84.75, 56.31, -98.08, 102.91, 95.55, -20.47, -47.40]","[366.26, 422.96, -199.00, -100.42, 26.43, -53.42, False, -98.08, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-08-11T15:08:47,gripper,NaN,200.00
2026-08-11T15:08:58,arm,"[76.05, 58.67, -95.06, 81.33, 94.36, -25.38, -24.75]","[416.42, 458.17, -238.41, -90.29, 25.20, -47.29, False, -95.06, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-08-11T15:09:08,arm,"[73.02, 58.28, -94.49, 77.38, 94.91, -24.58, -24.77]","[428.29, 468.56, -237.17, -91.10, 26.14, -46.68, False, -94.49, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-08-11T15:09:13,gripper,NaN,0.00
2026-08-11T15:09:20,arm,"[72.34, 55.87, -94.06, 82.63, 95.68, -21.56, -35.23]","[426.78, 467.02, -209.26, -95.72, 27.55, -48.54, False, -94.06, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-08-11T15:09:36,arm,"[75.23, 53.63, -96.29, 95.97, 97.81, -20.94, -42.01]",NaN

