timestamp,type,joints,pose
2026-07-03T13:25:24,arm,"[100, 0, -47, 115, 56, -22, 50]",NaN
2026-07-09T11:10:44,arm,"[65, 45, -93, 103, 63, 14, -24]",NaN
2026-07-09T16:25:31,arm,"[62.96, 55.04, -88.78, 95.30, 104.77, -23.17, -49.42]","[440.44, 415.44, -96.61, -85.32, 24.94, -43.26, False, -88.78, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-07-09T16:25:36,arm,"[60.55, 53.98, -83.66, 80.61, 95.68, -22.86, -43.37]","[474.05, 439.53, -159.40, -96.27, 27.70, -50.01, False, -83.66, [0, 0, -1, 0, 1, -1, -1, 1]]"
2026-07-09T16:25:39,arm,"[62.46, 55.84, -82.07, 75.13, 95.68, -29.60, -31.86]","[476.39, 438.48, -194.93, -89.42, 27.30, -46.20, False, -82.07, [0, 0, -1, 0, 1, -1, -1, 1]]"
2026-07-09T16:25:49,gripper,NaN,200.00
2026-07-09T16:25:53,arm,"[69.06, 55.97, -81.90, 84.63, 98.81, -34.06, -35.53]","[447.44, 410.60, -201.02, -87.21, 26.75, -45.18, False, -81.90, [0, 0, -1, 0, 1, -1, -1, 1]]"
2026-07-09T16:26:03,gripper,NaN,0.00
2026-07-09T16:26:06,arm,"[74.68, 40.36, -86.46, 75.58, 77.94, 7.04, 7.99]","[430.22, 475.76, -187.75, -83.26, 36.74, -87.56, False, -86.46, [0, 0, -1, 0, 0, 0, 0, 0]]"
2026-07-09T16:26:12,arm,"[82.32, 38.74, -89.54, 84.43, 77.02, 6.62, 7.83]","[403.96, 453.41, -183.13, -82.48, 38.07, -91.22, False, -89.54, [0, 0, -1, 0, 0, 0, 0, 0]]"
2026-07-09T16:26:15,arm,"[88.16, 42.08, -91.83, 87.81, 78.12, 3.46, 7.53]","[384.49, 437.42, -211.28, -82.84, 35.96, -90.04, False, -91.83, [0, 0, -2, 0, 0, 0, 0, 0]]"
2026-07-09T16:26:21,arm,"[83.48, 42.08, -91.13, 96.81, 77.73, 7.95, 4.04]","[395.52, 389.08, -152.84, -77.01, 37.14, -95.27, False, -91.13, [0, 0, -2, 1, 0, 0, 0, 0]]"
