timestamp,type,joints,pose
2026-06-29T14:34:37,arm,"[110, 65, -135, 125, 65, 50, 50]",NaN
2026-06-29T14:34:51,arm,"[105, 60, -168, 98, 64, 20, 50]",NaN
2026-07-09T16:32:23,arm,"[149.46, 45.99, -168.39, 93.00, 49.17, 33.07, 27.77]","[79.80, 606.76, -40.93, -68.17, 29.23, -78.95, False, -168.39, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-07-09T16:32:26,arm,"[147.88, 44.85, -168.28, 100.02, 49.22, 34.83, 25.15]","[107.33, 569.02, -25.89, -68.48, 32.03, -86.68, False, -168.28, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-07-09T16:32:28,arm,"[146.77, 41.98, -168.14, 107.08, 47.69, 37.64, 17.54]","[139.46, 527.26, -12.69, -74.80, 35.04, -97.61, False, -168.14, [1, 0, -2, 1, 0, 0, 0, 4]]"
2026-07-09T16:32:31,arm,"[146.74, 36.37, -168.09, 113.39, 43.71, 37.39, 8.14]","[175.71, 483.99, 4.85, -82.09, 37.52, -107.97, False, -168.09, [1, 0, -2, 1, 0, 0, 0, 4]]"
2026-07-09T16:32:33,arm,"[146.72, 29.03, -166.73, 119.51, 41.10, 31.03, -1.36]","[214.24, 437.71, 19.07, -88.16, 40.42, -114.03, False, -166.73, [1, 0, -2, 1, 0, 0, -1, 4]]"
2026-07-09T16:32:35,arm,"[144.88, 19.60, -159.84, 122.50, 39.11, 21.34, -4.91]","[257.89, 392.27, 20.55, -89.86, 39.63, -118.31, False, -159.83, [1, 0, -2, 1, 0, 0, -1, 4]]"
2026-07-09T16:32:37,arm,"[138.71, 9.13, -148.13, 126.91, 38.30, 3.84, -10.29]","[294.79, 339.48, 20.60, -89.43, 38.86, -115.70, False, -148.13, [1, 0, -2, 1, 0, 0, -1, 4]]"
2026-07-09T16:32:41,arm,"[135.20, 24.60, -155.33, 126.64, 37.32, 20.82, -12.70]","[241.52, 387.42, 20.37, -88.02, 37.72, -113.64, False, -155.33, [1, 0, -2, 1, 0, 0, -1, 4]]"
2026-06-29T14:35:46,arm,"[145, 35, -145, 135, 43, 25, 0]",NaN
