timestamp,type,joints,pose
2026-08-11T15:39:22,arm,"[70.93, 55.58, -100.11, 92.72, 96.47, -11.15, -49.63]","[412.89, 464.17, -153.02, -101.59, 26.91, -52.23, False, -100.11, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-08-11T15:39:33,arm,"[68.85, 55.27, -98.03, 86.79, 96.46, -11.18, -46.98]","[427.52, 473.43, -168.57, -103.21, 28.37, -52.89, False, -98.03, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-08-11T15:39:42,arm,"[73.64, 59.29, -97.07, 78.09, 99.31, -21.26, -25.20]","[424.07, 471.56, -235.32, -90.54, 29.25, -46.73, False, -97.07, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-08-11T15:39:49,gripper,NaN,200.00
2026-08-11T15:39:57,arm,"[79.31, 59.62, -96.90, 85.42, 99.31, -24.67, -26.68]","[400.49, 451.65, -237.74, -88.79, 28.44, -46.09, False, -96.90, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-08-11T15:40:01,gripper,NaN,0.00
2026-08-11T15:40:12,arm,"[82.93, 59.73, -89.88, 99.73, 105.13, -32.75, -35.04]","[382.95, 383.46, -208.44, -82.97, 26.33, -45.33, False, -89.88, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-11T15:40:21,arm,"[75.42, 64.95, -82.10, 94.80, 109.93, -33.17, -37.69]","[423.89, 331.23, -217.10, -84.85, 26.47, -48.86, False, -82.10, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-11T15:40:28,arm,"[76.42, 66.31, -79.39, 91.04, 109.92, -40.01, -37.73]","[420.21, 323.35, -250.93, -87.31, 25.26, -46.41, False, -79.39, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-11T15:40:34,arm,"[82.74, 60.70, -81.53, 95.24, 108.16, -40.62, -37.73]","[386.27, 355.58, -253.73, -86.21, 28.43, -44.82, False, -81.53, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-11T15:40:40,arm,"[79.47, 59.83, -81.47, 91.21, 107.44, -40.62, -37.61]","[401.43, 371.82, -249.66, -85.98, 28.99, -42.73, False, -81.47, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-08-11T15:40:50,arm,"[91.02, 56.08, -87.60, 104.08, 107.47, -40.61, -37.63]","[343.10, 381.05, -228.29, -81.80, 28.89, -42.11, False, -87.60, [1, 0, -1, 1, 1, -1, -1, 1]]"
