timestamp,type,joints,pose
2026-07-29T15:50:22,arm,"[70.86, 61.35, -103.67, 93.28, 102.81, -7.53, -50.07]","[411.29, 454.11, -165.65, -102.71, 27.67, -51.40, False, -103.67, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-29T15:50:29,arm,"[75.37, 66.24, -103.48, 83.74, 107.57, -17.77, -27.82]","[411.75, 450.70, -234.83, -90.40, 28.78, -45.00, False, -103.48, [0, 0, -2, 0, 1, -1, -1, 1]]"
2026-07-29T15:50:37,gripper,NaN,200.00
2026-07-29T15:50:42,arm,"[80.53, 67.93, -103.71, 92.75, 108.75, -17.78, -33.32]","[386.25, 426.56, -232.38, -91.94, 28.42, -45.81, False, -103.71, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-29T15:50:50,gripper,NaN,0.00
2026-07-29T15:51:06,arm,"[72.12, 66.95, -94.47, 97.37, 114.54, -17.76, -41.01]","[424.58, 375.78, -165.92, -85.24, 29.42, -46.30, False, -94.47, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-29T15:51:13,arm,"[74.80, 76.55, -85.85, 91.21, 121.09, -32.38, -41.01]","[429.65, 296.71, -245.05, -89.68, 26.14, -45.38, False, -85.85, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-07-29T15:51:20,arm,"[77.68, 75.17, -86.92, 93.75, 121.12, -32.38, -41.01]","[413.19, 307.54, -247.46, -88.92, 27.03, -44.33, False, -86.92, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-07-29T15:51:24,arm,"[83.03, 71.93, -90.51, 98.12, 121.05, -32.37, -41.01]","[380.74, 338.71, -246.40, -86.83, 28.95, -40.68, False, -90.51, [0, 0, -2, 1, 1, -1, -1, 1]]"
2026-07-29T15:51:29,arm,"[81.50, 68.40, -89.18, 95.84, 116.51, -32.35, -41.01]","[390.53, 352.97, -246.02, -88.50, 29.34, -42.62, False, -89.18, [0, 0, -1, 1, 1, -1, -1, 1]]"
2026-07-29T15:51:41,arm,"[84.89, 69.49, -90.51, 101.39, 114.56, -29.74, -38.21]","[374.87, 339.26, -238.40, -87.37, 27.51, -46.52, False, -90.51, [0, 0, -2, 1, 1, -1, -1, 1]]"
