timestamp,type,joints,pose
2026-07-29T15:52:25,arm,"[77, 63, -109, 130, 70, -17, 19]",NaN
2026-07-29T15:52:30,arm,"[96, 61, -168, 119.5, 72, -5, 23.5]",NaN
2026-08-12T15:06:09,arm,"[108.60, 67.45, -162.67, 106.53, 76.94, 23.45, 8.09]","[102.59, 562.29, -117.62, -58.84, 23.76, -46.76, False, -162.67, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-08-12T15:06:21,arm,"[107.82, 74.21, -157.04, 117.08, 76.94, 23.32, 5.98]","[126.03, 498.62, -122.42, -58.25, 22.92, -52.73, False, -157.04, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-08-12T15:06:26,arm,"[107.79, 79.72, -149.36, 126.74, 82.31, 16.74, 1.16]","[146.64, 442.98, -123.26, -58.96, 23.07, -51.85, False, -149.36, [1, 0, -2, 1, 0, 0, 0, 0]]"
2026-08-12T15:06:30,arm,"[107.36, 81.42, -137.95, 135.06, 91.74, 9.78, -6.96]","[175.09, 388.39, -115.34, -60.54, 25.75, -51.36, False, -137.95, [1, 0, -2, 1, 1, 0, -1, 0]]"
2026-08-12T15:06:34,arm,"[104.72, 82.02, -125.20, 137.76, 101.80, 4.78, -10.76]","[207.02, 342.66, -114.34, -59.78, 26.79, -52.43, False, -125.20, [1, 0, -2, 1, 1, 0, -1, 0]]"
2026-08-12T15:06:38,arm,"[101.11, 82.17, -111.97, 139.80, 111.54, 1.38, -18.23]","[234.23, 295.92, -110.45, -61.27, 27.57, -54.45, False, -111.97, [1, 0, -2, 1, 1, 0, -1, 0]]"
2026-08-12T15:06:43,arm,"[93.98, 82.18, -101.23, 136.58, 117.57, -1.59, -21.77]","[272.43, 261.52, -104.98, -60.55, 25.95, -56.73, False, -101.23, [1, 0, -2, 1, 1, -1, -1, 1]]"
2026-08-12T15:06:50,arm,"[106.60, 76.43, -116.53, 136.62, 106.70, -0.15, -0.84]","[221.05, 311.66, -109.97, -48.54, 31.88, -55.00, False, -116.53, [1, 0, -2, 1, 1, -1, -1, 1]]"
2026-08-12T15:08:11,arm,"[106.47, 76.46, -112.21, 139.84, 106.74, -0.87, 15.37]","[205.21, 268.31, -85.94, -30.15, 30.22, -58.46, False, -112.21, [1, 0, -2, 1, 1, -1, 0, 1]]"
2026-07-29T15:53:05,arm,"[100, 60, -90, 135, 90, 0, 0]",NaN
