source_file,captured_at,arm_side,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,translation_norm_mm,rotation_norm_deg,accepted,decision_reason
offset_compare_0729_163822.txt,2026-07-29T16:38:22+08:00,left,-6.00,-6.30,8.85,-0.86,0.74,0.17,12.410181,1.147214,true,baseline_inlier
offset_compare_0729_164714.txt,2026-07-29T16:47:14+08:00,left,16.11,-13.75,-10.36,0.50,-0.90,2.10,23.577917,2.338803,true,baseline_inlier
offset_compare_0729_170345.txt,2026-07-29T17:03:45+08:00,left,14.72,-13.51,-6.94,0.24,-0.66,1.90,21.150701,2.025635,true,baseline_inlier
offset_compare_0729_170626.txt,2026-07-29T17:06:26+08:00,left,-13.40,-8.28,11.89,-1.03,1.03,-0.07,19.735619,1.458115,true,baseline_inlier
offset_compare_0729_171128.txt,2026-07-29T17:11:28+08:00,left,-3.67,6.44,-9.96,0.60,-0.72,-0.56,12.415399,1.091971,true,baseline_inlier
offset_compare_0729_171336.txt,2026-07-29T17:13:36+08:00,left,-5.13,4.86,-8.96,0.69,-0.70,0.33,11.410267,1.036822,true,baseline_inlier
offset_compare_0729_171808.txt,2026-07-29T17:18:08+08:00,left,20.30,-8.08,2.83,-0.23,0.19,-0.27,22.030914,0.402368,true,baseline_inlier
offset_compare_0729_172320.txt,2026-07-29T17:23:20+08:00,left,38.95,-7.88,-8.60,0.49,-0.91,1.31,40.659108,1.668622,true,baseline_inlier
offset_compare_0729_172536.txt,2026-07-29T17:25:36+08:00,left,116.43,70.85,-129.32,11.62,-11.91,-0.26,187.881159,16.641517,false,known_collision_outlier
offset_compare_0729_172847.txt,2026-07-29T17:28:47+08:00,left,21.45,-3.52,2.88,-0.34,0.26,-0.43,21.926649,0.606713,true,baseline_inlier
