timestamp,type,joints,pose
2026-08-03T09:45:09,arm,"[38, -36, -53, 130, -20, 24, 12]",NaN
2026-08-03T09:45:23,arm,"[46, -34, -24., 137, -97, 27, -28]",NaN
2026-08-11T15:47:13,arm,"[42.53, 7.72, -32.01, 116.93, -79.99, 9.21, -4.35]","[349.04, -302.26, 63.19, 158.79, 87.44, -163.31, False, -32.01, [0, 0, -1, 1, -1, 0, -1, 0]]"
2026-08-11T15:47:41,m6,"[0.00, 0.00, 0.60, 0.60, 0.60, 0.60]",NaN
2026-08-11T15:48:07,arm,"[36.25, 4.90, -26.97, 115.29, -82.04, 7.37, -12.81]","[343.33, -314.61, 54.42, 88.81, 88.51, 131.48, False, -26.97, [0, 0, -1, 1, -1, 0, -1, 0]]"
2026-08-11T15:48:18,arm,"[37.99, -0.20, -27.50, 114.50, -85.05, 7.95, -19.30]","[327.22, -338.68, 51.82, 5.22, 88.17, 49.12, False, -27.50, [0, -1, -1, 1, -1, 0, -1, 0]]"
2026-08-11T15:48:25,arm,"[38.88, -5.77, -26.33, 109.23, -87.47, 10.62, -34.48]","[307.92, -380.00, 48.85, 5.86, 86.99, 54.95, False, -26.33, [0, -1, -1, 1, -1, 0, -1, 0]]"
2026-08-11T15:48:31,arm,"[40.11, -13.25, -22.97, 112.20, -89.29, 15.46, -31.62]","[279.05, -400.83, 47.54, 10.57, 86.13, 53.24, False, -22.96, [0, -1, -1, 1, -1, 0, -1, 0]]"
2026-08-11T15:48:37,arm,"[42.34, -19.51, -18.96, 112.46, -92.85, 22.67, -32.68]","[251.30, -426.94, 49.54, 4.65, 87.38, 42.11, False, -18.96, [0, -1, -1, 1, -2, 0, -1, 0]]"
2026-08-11T15:48:42,arm,"[44.37, -24.78, -15.73, 113.38, -95.15, 27.88, -30.98]","[227.30, -446.47, 49.60, 7.10, 87.35, 38.10, False, -15.73, [0, -1, -1, 1, -2, 0, -1, 0]]"
2026-08-11T15:48:45,arm,"[44.62, -28.55, -12.76, 112.26, -97.24, 29.75, -31.73]","[207.97, -468.58, 47.76, 6.67, 86.38, 32.84, False, -12.76, [0, -1, -1, 1, -2, 0, -1, 0]]"
2026-08-11T15:48:49,arm,"[44.59, -31.68, -10.37, 111.55, -98.90, 30.62, -31.24]","[191.16, -486.46, 44.96, 6.87, 85.37, 28.02, False, -10.37, [0, -1, -1, 1, -2, 0, -1, 0]]"
2026-08-11T15:48:52,arm,"[44.38, -33.83, -6.98, 108.50, -102.10, 32.54, -32.52]","[172.65, -514.05, 44.76, 5.91, 85.55, 21.36, False, -6.98, [0, -1, -1, 1, -2, 0, -1, 0]]"
2026-08-11T15:48:58,arm,"[44.08, -31.85, -4.10, 98.66, -108.68, 34.01, -45.65]","[160.85, -553.04, 48.60, -7.29, 87.55, 10.23, False, -4.10, [0, -1, -1, 1, -2, 0, -1, 0]]"
2026-08-11T15:49:17,m6,"[0.00, 0.00, 0.00, 0.00, 0.00, 0.00]",NaN
2026-08-11T15:49:24,arm,"[46.00, -34.85, 1.84, 105.91, -110.08, 42.72, -45.66]","[133.82, -525.27, 64.29, -71.77, 87.99, -54.27, False, 1.84, [0, -1, 0, 1, -2, 0, -1, 0]]"
2026-08-11T15:49:45,arm,"[64, -41, 5.8, 112.5, -17.5, 6, 3]",NaN
