timestamp,type,joints,pose
2026-07-16T16:43:28,arm,"[37.5, -57.00, -46, 135, 49.5, -10.5, 31]",NaN
2026-07-16T16:47:42,arm,"[51.95, -15.21, -29.22, 115.90, 86.00, -21.85, 27.41]","[272.15, -388.72, 53.58, 63.92, -86.56, 156.46, False, -29.22, [0, -1, -1, 1, 0, -1, 0, 1]]"
2026-07-16T16:47:52,arm,"[48.93, 0.07, -32.99, 115.21, 96.13, -17.04, 15.96]","[322.82, -336.68, 69.70, 179.09, -87.24, 42.93, False, -32.99, [0, 0, -1, 1, 1, -1, 0, 1]]"
2026-07-16T16:48:07,m11,"[0.02, 0.00, 0.01, 0.01, 0.80, 0.00, 0.88, 0.00, 0.83, 0.01, 0.72]",NaN
2026-07-16T16:48:21,arm,"[25.71, -4.16, -10.19, 110.04, 90.40, -14.85, 31.90]","[308.88, -372.89, 63.99, 116.20, -86.85, 111.57, False, -10.19, [0, -1, -1, 1, 1, -1, 0, 1]]"
2026-07-16T16:48:24,arm,"[19.03, -7.49, -3.19, 105.02, 88.98, -14.78, 43.52]","[292.40, -408.53, 63.55, 112.31, -87.18, 118.52, False, -3.19, [0, -1, -1, 1, 0, -1, 0, 1]]"
2026-07-16T16:48:40,arm,"[13.31, -16.62, 2.18, 109.30, 89.92, -14.06, 39.21]","[252.70, -432.34, 55.46, 85.98, -88.10, 135.84, False, 2.18, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-07-16T16:48:44,arm,"[18.14, -20.97, 1.20, 105.35, 87.00, -16.67, 46.54]","[225.26, -466.95, 59.21, 75.57, -87.12, 144.76, False, 1.20, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-07-16T16:48:47,arm,"[22.06, -27.19, 2.00, 104.55, 85.44, -19.68, 47.32]","[188.39, -494.73, 60.73, 46.67, -86.38, 167.10, False, 2.00, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-07-16T16:48:50,arm,"[18.24, -31.37, 4.51, 102.55, 85.89, -19.24, 47.80]","[163.02, -519.42, 55.23, 23.98, -87.43, -175.79, False, 4.51, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-07-16T16:48:53,arm,"[20.41, -35.33, 5.24, 98.55, 83.59, -19.41, 50.06]","[129.76, -551.05, 52.45, 17.84, -85.48, -175.84, False, 5.24, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-07-16T16:48:59,arm,"[19.54, -38.02, 5.71, 96.45, 83.73, -19.38, 49.48]","[108.84, -569.47, 46.15, -3.37, -85.41, -159.74, False, 5.71, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-07-10T15:06:31,m11,"[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]",NaN
2026-07-16T16:49:24,arm,"[9, -70, 15.00, 95, 87, -15, 43]",NaN
