timestamp,type,joints,pose
2026-08-03T10:57:07,arm,"[16.36, -39.20, 0.82, 92.69, 80.91, -12.66, 43.20]","[103.77, -602.60, 11.10, 9.48, -88.57, 176.31, False, 0.82, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-08-03T10:57:21,arm,"[18.77, -34.02, 1.04, 92.10, 79.17, -12.62, 45.70]","[137.19, -591.75, 26.65, 53.76, -85.74, 138.43, False, 1.04, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-08-03T10:57:27,m6,"[0.00, 0.00, 0.56, 0.60, 0.60, 0.57]",NaN
2026-08-03T10:58:30,arm,"[14.93, -36.10, 2.39, 108.90, 84.82, -14.74, 28.14]","[158.65, -524.67, 32.49, 65.59, -87.81, 124.43, False, 2.39, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-08-03T10:58:37,arm,"[14.09, -32.67, 0.93, 114.98, 87.73, -12.88, 23.71]","[186.38, -482.08, 32.30, 43.53, -87.98, 152.24, False, 0.93, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-08-03T10:58:43,arm,"[13.93, -27.82, 0.81, 118.72, 88.90, -14.27, 19.38]","[212.38, -447.56, 35.72, 96.59, -88.32, 103.48, False, 0.81, [0, -1, 0, 1, 0, -1, 0, 1]]"
2026-08-03T10:58:51,arm,"[13.54, -19.34, 1.20, 122.17, 94.73, -16.60, 9.32]","[250.01, -403.81, 42.83, -147.88, -87.42, -9.10, False, 1.20, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-08-03T10:58:56,arm,"[13.51, -10.72, 0.85, 121.96, 93.94, -16.53, 6.07]","[284.22, -369.25, 48.35, 161.92, -86.47, 45.81, False, 0.85, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-08-03T10:59:01,arm,"[13.54, -3.83, -0.76, 120.44, 96.56, -15.00, 2.54]","[313.17, -345.62, 48.35, -164.63, -86.37, 14.72, False, -0.76, [0, -1, -1, 1, 1, -1, 0, 1]]"
2026-08-03T10:59:07,arm,"[13.50, 3.70, -1.15, 117.42, 96.37, -15.06, 1.80]","[343.37, -320.12, 52.66, -179.79, -85.48, 33.45, False, -1.15, [0, 0, -1, 1, 1, -1, 0, 1]]"
2026-08-03T10:59:25,m6,"[0.00, 0.00, 0.00, 0.00, 0.00, 0.00]",NaN
2026-08-03T10:59:31,arm,"[13.12, 2.68, -1.51, 114.69, 96.13, -15.07, 7.09]","[345.02, -334.64, 49.46, -164.70, -85.17, 19.97, False, -1.51, [0, 0, -1, 1, 1, -1, 0, 1]]"
2026-08-03T10:59:39,arm,"[15.26, -10.77, -1.21, 115.54, 94.79, -16.12, 21.19]","[285.29, -387.07, 50.17, -130.39, -87.22, -12.67, False, -1.21, [0, -1, -1, 1, 1, -1, 0, 1]]"
2026-08-03T10:59:55,arm,"[36, -29, -62, 120, 59, 5, 22.5]",NaN
