timestamp,type,joints,pose
2026-07-16T16:50:10,arm,"[0.39, -40.04, 19.03, 91.77, 90.83, -18.66, 50.12]","[82.34, -586.07, 95.62, 15.46, -89.24, 176.78, False, 19.03, [0, -1, 0, 1, 1, -1, 0, 5]]"
2026-07-16T16:50:15,arm,"[0.26, -37.53, 19.52, 95.50, 91.89, -19.12, 46.52]","[110.36, -566.43, 97.39, 38.97, -89.51, 156.05, False, 19.52, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:20,arm,"[0.26, -37.62, 19.47, 105.15, 95.13, -19.05, 39.52]","[131.61, -521.33, 94.30, -172.55, -89.91, 10.64, False, 19.47, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:24,arm,"[0.27, -32.76, 19.56, 111.31, 95.92, -18.23, 35.97]","[167.65, -476.82, 91.31, 117.78, -88.67, 87.68, False, 19.56, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:26,arm,"[0.27, -24.23, 19.84, 113.58, 95.93, -18.19, 33.62]","[211.34, -437.80, 90.88, 118.36, -87.83, 95.42, False, 19.84, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:28,arm,"[0.26, -16.94, 20.02, 114.83, 96.00, -18.19, 29.88]","[244.91, -405.80, 90.92, 115.92, -87.39, 102.61, False, 20.02, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:31,arm,"[0.22, -8.72, 20.02, 114.70, 95.99, -18.22, 25.65]","[280.43, -373.89, 91.29, 112.61, -87.40, 109.79, False, 20.02, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:33,arm,"[0.22, -1.65, 19.99, 114.70, 96.00, -18.26, 20.07]","[309.23, -343.86, 91.61, 108.55, -87.39, 115.33, False, 19.99, [0, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:36,arm,"[0.22, 4.95, 19.70, 114.03, 95.91, -18.26, 14.79]","[335.41, -316.35, 91.00, 107.55, -87.62, 116.99, False, 19.69, [0, 0, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:41,arm,"[-0.47, -10.13, 19.83, 113.99, 95.91, -17.77, 25.17]","[278.57, -385.60, 88.27, 118.98, -87.80, 100.84, False, 19.84, [-1, -1, 0, 1, 1, -1, 0, 1]]"
2026-07-16T16:50:52,arm,"[4, -32, -10, 130, 78, -0, 35]",NaN
